program,code,title,description,credits,prerequisite
MBA,BUS050,Pre-term Quantitative Methods,"This intensive workshop for incoming students is designed to refresh the basic quantitative tools essential for the successful completion of the program. The course content provides the student with a number of mathematical and statistical tools frequently used in business analysis, marketing research, operations management and finance. Topics include: linear and exponential growth, data analysis and description statistics (mean, median, mode, range, variance, deviation), basic concepts of probability, hypothesis testing, introduction to linear regression, basics of linear programming, compound interest, discounting and calculation of Net Present Value. Topics may change according to the needs of the participating students. The main software used is Microsoft Excel. The course can be waived by placement test.",1.68,
MBA,BUS051,Effective Communications,"This course prepares students to meet the challenge of professional oral communications. Through prepared and impromptu speeches, peer coaching, and lectures, it provides students with the opportunity to develop the necessary skills for effective public speaking, skills that will make them articulate, confident, organized, competent and persuasive speakers. The course exposes students to a variety of communication and presentation styles and modes, helps students develop critical listening skills, and improve their abilities to give, receive, and apply feedback.",2,
BAB,BUS101,Introduction to Business,"Introduction to Business is a required course for first-year BAB majors. This course addresses the basic functions and activities of business both individually and collectively in the generation of jobs, the production and dissemination of needed goods, the pursuit of innovation, the creation of social and personal assets, and the satisfaction of individual and societal needs and wants. The course also examines ways that individuals can responsibly manage their own financial health and welfare as part of the larger economic system. Students will be encouraged to relate the material covered to their own life experiences and to critical national and international challenges. Home tasks will include reading, writing reports on important current issues that relate to the subject matter, and reflections on personal observations and analyses.",3,
BAB,BUS105,Foundations of Management,"The course provides a comprehensive introduction to principles of management. Through the course, students will become familiar with various organizational structures and functions and will develop the analytical tools to determine how organizational resources (money, time, and personnel) can be most effectively managed. The course will cover the following topics: organizational culture, individual and group behavior, leadership, motivation, teamwork, communication, and measures of organizational effectiveness. Home tasks will include completion of reading assignments and analysis of case studies. Three hours of instructor-led class time per week.",3,
BAB,BUS109,Single-Variable Calculus for Business and Economics,This course offers a tailored introduction to calculus for first-year business students. It includes the fundamental concepts of differentiation and integration theory for single-variable functions with a good focus on practical applications in business and economics. The study of numerical sequences and series is presented at a level that enables the solving of basic problems expressed in terms of financial economics. The course also includes a brief introduction to differential equations for further modelling real-life scenarios. Students are required to complete weekly reading assignments and solve in-class and homework problem sets.,3,
BAB,BUS110,Applied Statistics,"This course introduces the necessary core quantitative methods that will be needed in future offerings as part of the BA in Business program. Statistical software and the use of spreadsheets are integrated throughout so that students better comprehend the importance of using modern technological tools for effective model building and decision making. The course will make use of a data oriented approach in exposing students to basic statistical methods, their conceptual underpinning, such as variability and uncertainty, and their use in the real world. Topics include data collection, descriptive statistics, elementary probability rules and distributions, sampling distributions, and basic inference. Three hours of instructor-led class time per week.Not available to CS, ES, DS students as a general education course.",3,
BAB,BUS112,"Social, Legal & Ethical Environment of Business","This course explores the basic social, legal and ethical environment of business by examining 1) the role of business in society, 2) the interactions between businesses as well as between businesses and governments, 3) basic legal frameworks for businesses, and 4) ethical standards in business, and finally 5) corporate responsibility. Students will apply appropriate social, legal, and ethical principles, frameworks and standards to analyze modern business scenarios. . Students will work individually and in groups to analyze case studies. Home tasks include reading, the writing of papers, and case study analysis. Three hours of instructor-led class time per week.",3,
BAB,BUS114,Introduction to Business Law and Ethics,"This course is designed to walk the students through every stage of business formation and operation, navigating legal challenges on that path. Topics include the basics of legal method, the law of persons, including the choices between individual entrepreneurship and a corporation, corporate law, fundamentals of choosing a tax regime, employment, contracts, property, intellectual property, competition law, administrative law, the legal responsibility of business and ethics in business. The students learn by reading and discussing the assigned materials, as well as case studies, and preparing legal documents, such as contracts, internal legal acts, and administrative applications.",3,BUS101
BAB,BUS145,Introduction to Financial Accounting,"This course introduces students to the terminology, procedures and principles of financial accounting and reporting. Students will develop the necessary skills to 1) analyze routine business transactions and accounting information, 2) measure assets, liabilities, equities, and income, and 3) understand, analyze, and develop financial statements and other forms of financial reporting and communication.. Weekly home tasks will require students to complete weekly reading assignments and apply accounting procedures and principles in order to analyze routine business transactions and accounting information. Three hours of instructor-led class time per week.",3,
BAB,BUS146,Introduction to Managerial Accounting,"This course introduces students to the terminology, procedures and principles of financial accounting and reporting. Students will develop the necessary skills to 1) analyze routine business transactions and accounting information, 2) measure assets, liabilities, equities, and income, and 3) understand, analyze, and develop financial statements and other forms of financial reporting and communication.. Weekly home tasks will require students to complete weekly reading assignments and apply accounting procedures and principles in order to analyze routine business transactions and accounting information. Three hours of instructor-led class time per week.",3,BUS145
