Code,Course,Section,Session,Credits,Campus,Instructor,Times,Location,Year/Sem.
BSN020,Bridge Course II - Nursing Skills II(BSN020),0,15W,0,AUA Main Campus,Vicky Herkelian,"MON 5:30pm-7:20pm, WED 6:30pm-7:20pm",Classroom 413W Paramaz Avedissian Building,202324/fall
BSN101,Professional Nursing Practice(BSN101),0,15W,3,AUA Main Campus,Nour Alayan,"MON 3:30pm-5:20pm, WED 4:30pm-5:20pm",Classroom 407E Paramaz Avedissian Building,202324/fall
BSN201,Health Assessment Across Age Groups(BSN201),0,15W,3,AUA Main Campus,Talin Gulgulian,"MON 5:30pm-6:20pm, WED 5:30pm-6:20pm, FRI 3:30pm-4:20pm",Classroom 407E Paramaz Avedissian Building,202324/fall
BSN204,Evidence-Based Adult Gerontology Health Nursing(BSN204)(Prerequisite),0,10w,3,AUA Main Campus,Nour Alayan,TBD,,202324/fall
BSN210,"Community Health Nursing, Public & Population Health(BSN210)",0,15W,3,AUA Main Campus,Talin Gulgulian,"MON 3:30pm-5:20pm, WED 3:30pm-5:20pm, FRI 5:30pm-6:20pm",Classroom 408E Paramaz Avedissian Building,202324/fall
BSN211,Mental Health Nursing(BSN211),0,15W,3,AUA Main Campus,Nour Alayan,"WED 5:30pm-6:20pm, FRI 3:30pm-5:20pm",Classroom 413W Paramaz Avedissian Building,202324/fall
BSN271,Nursing Enhancement in Special Topics: Pathophysiology(BSN271),0,15W,3,AUA Main Campus,Talin Gulgulian,"MON 6:30pm-7:20pm, WED 6:30pm-7:20pm, FRI 4:30pm-5:20pm",Classroom 407E Paramaz Avedissian Building,202324/fall
BUS050,Pre-term Quantitative Methods(BUS050),0,15w,1.68,To Be Determined,Vahe Movsisyan,TBD,,202324/fall
BUS051,Effective Communications(BUS051),0,2w,2,AUA Main Campus,Hilda Grigorian,TBD,,202324/fall
BUS101,Introduction to Business(BUS101),A,15W,3,AUA Main Campus,Ruben Melikyan,"MON 9:30am-10:20am, WED 9:30am-10:20am, FRI 9:30am-10:20am",Classroom 208E Paramaz Avedissian Building,202324/fall
BUS101,Introduction to Business(BUS101),B,15W,3,AUA Main Campus,Arsen Chilingaryan,"MON 10:30am-11:20am, WED 10:30am-11:20am, FRI 10:30am-11:20am",Classroom 213W Paramaz Avedissian Building,202324/fall
BUS101,Introduction to Business(BUS101),C,15W,3,AUA Main Campus,Michael Kouchakdjian,"TUE 9:00am-10:15am, THU 9:00am-10:15am",Classroom 208E Paramaz Avedissian Building,202324/fall
BUS101,Introduction to Business(BUS101),D,15W,3,AUA Main Campus,Michael Kouchakdjian,"TUE 10:30am-11:45am, THU 10:30am-11:45am",Classroom 208E Paramaz Avedissian Building,202324/fall
BUS101,Introduction to Business(BUS101),E,15W,3,AUA Main Campus,Michael Kouchakdjian,"TUE 1:30pm-2:45pm, THU 1:30pm-2:45pm",Classroom 208E Paramaz Avedissian Building,202324/fall
BUS105,Foundations of Management(BUS105),0,15W,3,AUA Main Campus,Mihran Aroian,"TUE 10:30am-11:45am, THU 10:30am-11:45am",Classroom 414W Paramaz Avedissian Building,202324/fall
BUS109,Single-Variable Calculus for Business and Economics(BUS109),A,15W,3,AUA Main Campus,Mher Martirosyan,"MON 8:30am-9:20am, WED 8:30am-9:20am, FRI 8:30am-9:20am",Classroom 213W Paramaz Avedissian Building,202324/fall
BUS109,Single-Variable Calculus for Business and Economics(BUS109),B,15W,3,AUA Main Campus,Mher Martirosyan,"MON 9:30am-10:20am, WED 9:30am-10:20am, FRI 9:30am-10:20am",Classroom 213W Paramaz Avedissian Building,202324/fall
BUS109,Single-Variable Calculus for Business and Economics(BUS109),C,15W,3,AUA Main Campus,Dmitriy Kha,"TUE 12:00pm-1:15pm, THU 12:00pm-1:15pm",Classroom 214W Paramaz Avedissian Building,202324/fall
BUS109,Single-Variable Calculus for Business and Economics(BUS109),D,15W,3,AUA Main Campus,Sevak Alaverdyan,"TUE 1:30pm-2:45pm, THU 1:30pm-2:45pm",Classroom 213W Paramaz Avedissian Building,202324/fall
BUS114,Introduction to Business Law and Ethics(BUS114)(Prerequisite),0,15w,3,AUA Main Campus,Hayk Malkhasyan,"TUE 9:00am-10:15am, THU 9:00am-10:30am",Classroom 215E Paramaz Avedissian Building,202324/fall
BUS146,Introduction to Managerial Accounting(BUS146)(Prerequisite),A,15W,3,AUA Main Campus,Eliza Tigranyan,"MON 9:30am-10:20am, WED 9:30am-10:20am, FRI 9:30am-10:20am",Classroom 214W Paramaz Avedissian Building,202324/fall
BUS146,Introduction to Managerial Accounting(BUS146)(Prerequisite),B,15W,3,AUA Main Campus,Eliza Tigranyan,"MON 11:30am-12:20pm, WED 11:30am-12:20pm, FRI 11:30am-12:20pm",Classroom 214W Paramaz Avedissian Building,202324/fall
BUS146,Introduction to Managerial Accounting(BUS146)(Prerequisite),C,15W,3,AUA Main Campus,Marianna Movsesyan,"TUE 10:30am-11:45am, THU 10:30am-11:45am",Classroom 213W Paramaz Avedissian Building,202324/fall
BUS146,Introduction to Managerial Accounting(BUS146)(Prerequisite),D,15W,3,AUA Main Campus,Lena Seissian,"TUE 12:00pm-1:15pm, THU 12:00pm-1:15pm",Classroom 208E Paramaz Avedissian Building,202324/fall
BUS160,Principles of Marketing(BUS160),0,15W,3,AUA Main Campus,Fanis Varvoglis,"MON 10:30am-11:20am, WED 10:30am-11:20am, FRI 10:30am-11:20am",Classroom 313W Paramaz Avedissian Building,202324/fall
